"active","birthDate","birthLocation","club","districtName","districtNum","educationLevel","email","firstLastName","firstName","id","lastFirstName","lastName","numberOfVotes","profession","secondName","voivodeship","inactiveCause","waiverDesc"
TRUE,"1959-01-04","Krzeszowice","PiS","Kraków",13,"wyższe","Andrzej.Adamczyk@sejm.pl","Andrzej Adamczyk","Andrzej",1,"Adamczyk Andrzej","Adamczyk",45171,"ekonomista","Mieczysław","małopolskie",NA,NA
TRUE,"1961-06-26","Elbląg","KO","Gdańsk",25,"średnie ogólne","Piotr.Adamowicz@sejm.pl","Piotr Adamowicz","Piotr",2,"Adamowicz Piotr","Adamowicz",23147,"dziennikarz",NA,"pomorskie",NA,NA
TRUE,"1990-06-30","Grajewo","PiS","Białystok",24,"wyższe","Adam.Andruszkiewicz@sejm.pl","Adam Andruszkiewicz","Adam",3,"Andruszkiewicz Adam","Andruszkiewicz",53632,"parlamentarzysta",NA,"podlaskie",NA,NA
TRUE,"1971-09-17","Czeladź","PiS","Katowice",32,"wyższe","Waldemar.Andzel@sejm.pl","Waldemar Andzel","Waldemar",4,"Andzel Waldemar","Andzel",22699,"politolog","Franciszek","śląskie",NA,NA
TRUE,"1968-02-16","Gdynia","PiS","Słupsk",26,"wyższe","Dorota.Arciszewska-Mielewczyk@sejm.pl","Dorota Arciszewska-Mielewczyk","Dorota",5,"Arciszewska-Mielewczyk Dorota","Arciszewska-Mielewczyk",11766,"ekonomista, menedżer","Irvina","pomorskie",NA,NA
TRUE,"1961-02-11","Czernikowo","PiS","Toruń",5,"wyższe","Jan.Ardanowski@sejm.pl","Jan Krzysztof Ardanowski","Jan",6,"Ardanowski Jan Krzysztof","Ardanowski",28658,"rolnik","Krzysztof","kujawsko-pomorskie",NA,NA
TRUE,"1968-06-04","Olsztyn","PiS","Olsztyn",35,"wyższe","Iwona.Arent@sejm.pl","Iwona Ewa Arent","Iwona",7,"Arent Iwona Ewa","Arent",16675,"politolog","Ewa","warmińsko-mazurskie",NA,NA
TRUE,"1971-12-30","Resko","KO","Koszalin",40,"wyższe","Bartosz.Arlukowicz@sejm.pl","Bartosz Arłukowicz","Bartosz",8,"Arłukowicz Bartosz","Arłukowicz",67325,"lekarz","Adam","zachodniopomorskie",NA,NA
TRUE,"1958-09-27","Zielona Góra","PiS","Zielona Góra",8,"wyższe","Marek.Ast@sejm.pl","Marek Ast","Marek",9,"Ast Marek","Ast",36365,"pracownik samorządowy, radca prawny, urzędnik państwowy",NA,"lubuskie",NA,NA
TRUE,"1964-09-01","Tarnów","KO","Tarnów",15,"wyższe","Urszula.Augustyn@sejm.pl","Urszula Augustyn","Urszula",10,"Augustyn Urszula","Augustyn",27047,"dziennikarz",NA,"małopolskie",NA,NA
TRUE,"1969-09-09","Krosno","PiS","Krosno",22,"wyższe","Piotr.Babinetz@sejm.pl","Piotr Babinetz","Piotr",11,"Babinetz Piotr","Babinetz",12829,"historyk, muzealnik","Mieczysław","podkarpackie",NA,NA
TRUE,"1968-01-11","Turek","PiS","Konin",37,"wyższe","Ryszard.Bartosik@sejm.pl","Ryszard Bartosik","Ryszard",12,"Bartosik Ryszard","Bartosik",25371,"politolog",NA,"wielkopolskie",NA,NA
TRUE,"1955-10-22","Warszawa","PSL-TD","Warszawa",19,"wyższe","Wladyslaw.Bartoszewski@sejm.pl","Władysław Bartoszewski","Władysław",13,"Bartoszewski Władysław","Bartoszewski",34563,"pracownik naukowy","Teofil","mazowieckie",NA,NA
TRUE,"1967-07-03","Gorlice","PiS","Nowy Sącz",14,"wyższe","Barbara.Bartus@sejm.pl","Barbara Bartuś","Barbara",14,"Bartuś Barbara","Bartuś",21250,"prawnik","Halina","małopolskie",NA,NA
TRUE,"1962-10-13","Łowicz","PSL-TD","Sieradz",11,"wyższe","Pawel.Bejda@sejm.pl","Paweł Bejda","Paweł",15,"Bejda Paweł","Bejda",25363,"inżynier mechanik, menedżer","Jan","łódzkie",NA,NA
TRUE,"1984-05-27","Kraków","Konfederacja","Kraków",13,"wyższe","Konrad.Berkowicz@sejm.pl","Konrad Berkowicz","Konrad",16,"Berkowicz Konrad","Berkowicz",36918,"programista","Szczepan","małopolskie",NA,NA
TRUE,"1975-04-27","Głuszyca","KO","Wałbrzych",2,"wyższe","Sylwia.Bielawska@sejm.pl","Sylwia Bielawska","Sylwia",17,"Bielawska Sylwia","Bielawska",17577,"pracownik samorządowy","Alina","dolnośląskie",NA,NA
TRUE,"1959-04-28","Sopot","PSL-TD","Słupsk",26,"wyższe","Marek.Biernacki@sejm.pl","Marek Biernacki","Marek",18,"Biernacki Marek","Biernacki",34369,"prawnik",NA,"pomorskie",NA,NA
TRUE,"1986-10-11","Łódź","KO","Łódź",9,"średnie ogólne","Pawel.Blizniuk@sejm.pl","Paweł Bliźniuk","Paweł",19,"Bliźniuk Paweł","Bliźniuk",12315,"pracownik administracji samorządowej","Kazimierz","łódzkie",NA,NA
TRUE,"1969-09-19","Legionowo","PiS","Warszawa",20,"wyższe","Mariusz.Blaszczak@sejm.pl","Mariusz Błaszczak","Mariusz",20,"Błaszczak Mariusz","Błaszczak",127578,"urzędnik państwowy",NA,"mazowieckie",NA,NA
TRUE,"1993-03-12","Sosnowiec","KO","Katowice",32,"wyższe","Mateusz.Bochenek@sejm.pl","Mateusz Bochenek","Mateusz",21,"Bochenek Mateusz","Bochenek",15117,"parlamentarzysta",NA,"śląskie",NA,NA
TRUE,"1986-08-14","Kraków","PiS","Kraków",12,"wyższe","Rafal.Bochenek@sejm.pl","Rafał Bochenek","Rafał",22,"Bochenek Rafał","Bochenek",42142,"prawnik","Paweł","małopolskie",NA,NA
TRUE,"1975-02-13","Lubliniec","Polska2050-TD","Wrocław",3,"wyższe","Izabela.Bodnar@sejm.pl","Izabela Bodnar","Izabela",23,"Bodnar Izabela","Bodnar",26404,"ekonomista","Anna","dolnośląskie",NA,NA
TRUE,"1959-02-13","Wysokie Mazowieckie","PiS","Białystok",24,"wyższe","Jacek.Bogucki@sejm.pl","Jacek Bogucki","Jacek",24,"Bogucki Jacek","Bogucki",12032,"inżynier mechanik",NA,"podlaskie",NA,NA
TRUE,"1980-01-26","Góra","PiS","Szczecin",41,"wyższe","Zbigniew.Bogucki@sejm.pl","Zbigniew Bogucki","Zbigniew",25,"Bogucki Zbigniew","Bogucki",26375,"adwokat",NA,"zachodniopomorskie",NA,NA
TRUE,"1968-07-11","Annopol","KO","Lublin",6,"wyższe","Krzysztof.Bojarski@sejm.pl","Krzysztof Bojarski","Krzysztof",26,"Bojarski Krzysztof","Bojarski",10672,"lekarz",NA,"lubelskie",NA,NA
TRUE,"1967-08-20","Włocławek","PiS","Toruń",5,"wyższe","Joanna.Borowiak@sejm.pl","Joanna Borowiak","Joanna",27,"Borowiak Joanna","Borowiak",25995,"nauczyciel, nauczyciel akademicki","Beata","kujawsko-pomorskie",NA,NA
TRUE,"1983-06-11","Głuchołazy","PiS","Płock",16,"wyższe","Kamil.Bortniczuk@sejm.pl","Kamil Bortniczuk","Kamil",28,"Bortniczuk Kamil","Bortniczuk",31555,"menedżer, prawnik, urzędnik państwowy",NA,"mazowieckie",NA,NA
