"abstain","date","description","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,1,"PiS","Andrzej","Adamczyk","Mieczysław","NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,2,"KO","Piotr","Adamowicz",NA,"YES",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,3,"PiS","Adam","Andruszkiewicz",NA,"ABSENT",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,4,"PiS","Waldemar","Andzel","Franciszek","NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,6,"PiS","Jan","Ardanowski","Krzysztof","ABSENT",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,7,"PiS","Iwona","Arent","Ewa","NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,8,"KO","Bartosz","Arłukowicz","Adam","YES",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,9,"PiS","Marek","Ast",NA,"ABSENT",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,10,"KO","Urszula","Augustyn",NA,"YES",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,11,"PiS","Piotr","Babinetz","Mieczysław","NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,12,"PiS","Ryszard","Bartosik",NA,"NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,13,"PSL-TD","Władysław","Bartoszewski","Teofil","YES",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,14,"PiS","Barbara","Bartuś","Halina","NO",103,248
0,"2023-12-11T18:49:03","wniosek w sprawie wyboru Donalda Tuska na Prezesa Rady Ministrów ","ELECTRONIC",201,10,1,9,10,"Pkt. 37 Wybór Prezesa Rady Ministrów (druk nr 95)","Wniosek w sprawie wyboru Pana Donalda Franciszka Tuska na Prezesa Rady Ministrów",449,15,"PSL-TD","Paweł","Bejda","Jan","YES",103,248
