"MP","club","firstName","lastName","listVotes.HOŁOWNIA SZYMON","listVotes.WITEK ELŻBIETA","secondName","vote"
  1,"PiS","Andrzej","Adamczyk",NO,YES,"Mieczysław","VOTE_VALID"
  2,"KO","Piotr","Adamowicz",YES,NO,NA,"VOTE_VALID"
  3,"PiS","Adam","Andruszkiewicz",NO,YES,NA,"VOTE_VALID"
  4,"PiS","Waldemar","Andzel",NO,YES,"Franciszek","VOTE_VALID"
  5,"PiS","Dorota","Arciszewska-Mielewczyk",NO,YES,"Irvina","VOTE_VALID"
  6,"PiS","Jan","Ardanowski",NO,YES,"Krzysztof","VOTE_VALID"
  7,"PiS","Iwona","Arent",NO,YES,"Ewa","VOTE_VALID"
  8,"KO","Bartosz","Arłukowicz",YES,NO,"Adam","VOTE_VALID"
  9,"PiS","Marek","Ast",NO,YES,NA,"VOTE_VALID"
 10,"KO","Urszula","Augustyn",YES,NO,NA,"VOTE_VALID"
 11,"PiS","Piotr","Babinetz",NO,YES,"Mieczysław","VOTE_VALID"
 12,"PiS","Ryszard","Bartosik",NO,YES,NA,"VOTE_VALID"
 13,"PSL","Władysław","Bartoszewski",YES,NO,"Teofil","VOTE_VALID"
 14,"PiS","Barbara","Bartuś",NO,YES,"Halina","VOTE_VALID"
 15,"PSL","Paweł","Bejda",YES,NO,"Jan","VOTE_VALID"
 16,"Konfederacja","Konrad","Berkowicz",NO,NO,"Szczepan","VOTE_VALID"
 17,"KO","Sylwia","Bielawska",YES,NO,"Alina","VOTE_VALID"
 18,"PSL","Marek","Biernacki",YES,NO,NA,"VOTE_VALID"
 19,"KO","Paweł","Bliźniuk",YES,NO,"Kazimierz","VOTE_VALID"
 20,"PiS","Mariusz","Błaszczak",NO,YES,NA,"VOTE_VALID"
 21,"KO","Mateusz","Bochenek",YES,NO,NA,"VOTE_VALID"
 22,"PiS","Rafał","Bochenek",NO,YES,"Paweł","VOTE_VALID"
 23,"Polska2050","Izabela","Bodnar",YES,NO,"Anna","VOTE_VALID"
 24,"PiS","Jacek","Bogucki",NO,YES,NA,"VOTE_VALID"
 25,"PiS","Zbigniew","Bogucki",NO,YES,NA,"VOTE_VALID"
 26,"KO","Krzysztof","Bojarski",YES,NO,NA,"VOTE_VALID"
 27,"PiS","Joanna","Borowiak",NO,YES,"Beata","VOTE_VALID"
 28,"PiS","Kamil","Bortniczuk",NO,YES,NA,"VOTE_VALID"
 29,"KO","Piotr","Borys",YES,NO,NA,"VOTE_VALID"
 30,"PiS","Bożena","Borys-Szopa",NO,YES,"Teresa","VOTE_VALID"
 31,"KO","Marcin","Bosacki",YES,NO,"Rafał","VOTE_VALID"
 32,"Konfederacja","Karina","Bosak",YES,NO,"Anna","VOTE_VALID"
 33,"Konfederacja","Krzysztof","Bosak",YES,NO,NA,"VOTE_VALID"
 34,"Konfederacja","Grzegorz","Braun",YES,NO,"Michał","VOTE_VALID"
 35,"KO","Krzysztof","Brejza",YES,NO,NA,"VOTE_VALID"
 36,"Polska2050","Agnieszka","Buczyńska",YES,NO,"MARIA","VOTE_VALID"
 37,"PiS","Waldemar","Buda",NO,YES,"Grzegorz","VOTE_VALID"
 38,"KO","Borys","Budka",YES,NO,"Piotr","VOTE_VALID"
 39,"Polska2050","Elżbieta","Burkiewicz",YES,NO,"Jolanta","VOTE_VALID"
