"MP","club","firstName","lastName","listVotes.GROSZKOWSKI JAKUB","listVotes.WRÓBLEWSKI MIROSŁAW","secondName","vote"
  1,"PiS","Andrzej","Adamczyk",YES,NO,"Mieczysław","VOTE_VALID"
  2,"KO","Piotr","Adamowicz",NO,YES,NA,"VOTE_VALID"
  3,"PiS","Adam","Andruszkiewicz",YES,NO,NA,"VOTE_VALID"
  4,"PiS","Waldemar","Andzel",YES,NO,"Franciszek","VOTE_VALID"
  5,"PiS","Dorota","Arciszewska-Mielewczyk",YES,NO,"Irvina","VOTE_VALID"
  6,"PiS","Jan","Ardanowski",YES,NO,"Krzysztof","VOTE_VALID"
  7,"PiS","Iwona","Arent",NA,NA,"Ewa","ABSENT"
  8,"KO","Bartosz","Arłukowicz",NO,YES,"Adam","VOTE_VALID"
  9,"PiS","Marek","Ast",YES,NO,NA,"VOTE_VALID"
 10,"KO","Urszula","Augustyn",NO,YES,NA,"VOTE_VALID"
 11,"PiS","Piotr","Babinetz",YES,NO,"Mieczysław","VOTE_VALID"
 12,"PiS","Ryszard","Bartosik",YES,NO,NA,"VOTE_VALID"
 13,"PSL-TD","Władysław","Bartoszewski",NO,YES,"Teofil","VOTE_VALID"
 14,"PiS","Barbara","Bartuś",YES,NO,"Halina","VOTE_VALID"
 15,"PSL-TD","Paweł","Bejda",NO,YES,"Jan","VOTE_VALID"
 16,"Konfederacja","Konrad","Berkowicz",NO,NO,"Szczepan","VOTE_VALID"
 17,"KO","Sylwia","Bielawska",NO,YES,"Alina","VOTE_VALID"
 18,"PSL-TD","Marek","Biernacki",NO,YES,NA,"VOTE_VALID"
 19,"KO","Paweł","Bliźniuk",NO,YES,"Kazimierz","VOTE_VALID"
 20,"PiS","Mariusz","Błaszczak",YES,NO,NA,"VOTE_VALID"
 21,"KO","Mateusz","Bochenek",NO,YES,NA,"VOTE_VALID"
 22,"PiS","Rafał","Bochenek",YES,NO,"Paweł","VOTE_VALID"
 23,"Polska2050-TD","Izabela","Bodnar",NO,YES,"Anna","VOTE_VALID"
 24,"PiS","Jacek","Bogucki",YES,NO,NA,"VOTE_VALID"
 25,"PiS","Zbigniew","Bogucki",YES,NO,NA,"VOTE_VALID"
 26,"KO","Krzysztof","Bojarski",NO,YES,NA,"VOTE_VALID"
 27,"PiS","Joanna","Borowiak",YES,NO,"Beata","VOTE_VALID"
 28,"PiS","Kamil","Bortniczuk",YES,NO,NA,"VOTE_VALID"
 29,"KO","Piotr","Borys",NO,YES,NA,"VOTE_VALID"
 30,"PiS","Bożena","Borys-Szopa",YES,NO,"Teresa","VOTE_VALID"
 31,"KO","Marcin","Bosacki",NO,YES,"Rafał","VOTE_VALID"
 32,"Konfederacja","Karina","Bosak",NO,NO,"Anna","VOTE_VALID"
 33,"Konfederacja","Krzysztof","Bosak",NO,NO,NA,"VOTE_VALID"
 34,"Konfederacja","Grzegorz","Braun",NO,NO,"Michał","VOTE_VALID"
 36,"Polska2050-TD","Agnieszka","Buczyńska",NO,YES,"MARIA","VOTE_VALID"
 37,"PiS","Waldemar","Buda",YES,NO,"Grzegorz","VOTE_VALID"
 38,"KO","Borys","Budka",NO,YES,"Piotr","VOTE_VALID"
 39,"Polska2050-TD","Elżbieta","Burkiewicz",NA,NA,"Jolanta","ABSENT"
 40,"PiS","Lidia","Burzyńska",YES,NO,"Ewa","VOTE_VALID"
 41,"KO","Marek","Chmielewski",NO,YES,"Jan","VOTE_VALID"
 42,"PiS","Zbigniew","Chmielowiec",YES,NO,"Michał","VOTE_VALID"
 43,"PiS","Artur","Chojecki",YES,NO,"Henryk","VOTE_VALID"
 44,"PiS","Kazimierz","Choma",YES,NO,"Bogusław","VOTE_VALID"
 45,"PiS","Dominika","Chorosińska",YES,NO,"Małgorzata","VOTE_VALID"
 46,"PiS","Tadeusz","Chrzan",YES,NO,NA,"VOTE_VALID"
 47,"KO","Alicja","Chybicka",NO,YES,"Paulina","VOTE_VALID"
 48,"PiS","Anna","Cicholska",NA,NA,"Ewa","ABSENT"
 49,"KO","Janusz","Cichoń",NO,YES,"Władysław","VOTE_VALID"
 50,"PiS","Krzysztof","Ciecióra",YES,NO,"Jan","VOTE_VALID"
 51,"PiS","Janusz","Cieszyński",YES,NO,"Antoni","VOTE_VALID"
 52,"PiS","Michał","Cieślak",YES,NO,NA,"VOTE_VALID"
 53,"Polska2050-TD","Żaneta","Cwalina-Śliwowska",NO,YES,NA,"VOTE_VALID"
 54,"PiS","Krzysztof","Czarnecki",YES,NO,"Władysław","VOTE_VALID"
 55,"PiS","Witold","Czarnecki",NA,NA,"Wojciech","ABSENT"
 56,"PiS","Przemysław","Czarnek",NA,NA,NA,"ABSENT"
 57,"PiS","Arkadiusz","Czartoryski",YES,NO,NA,"VOTE_VALID"
 58,"Lewica","Włodzimierz","Czarzasty",NO,YES,NA,"VOTE_VALID"
 59,"Lewica","Jacek","Czerniak",NO,YES,"Andrzej","VOTE_VALID"
 60,"KO","Zofia","Czernow",NO,YES,NA,"VOTE_VALID"
 61,"PiS","Anita","Czerwińska",YES,NO,NA,"VOTE_VALID"
 62,"PiS","Katarzyna","Czochara",NA,NA,"Beata","ABSENT"
 63,"Polska2050-TD","Sławomir","Ćwik",NO,YES,NA,"VOTE_VALID"
 64,"PiS","Władysław","Dajczak",YES,NO,NA,"VOTE_VALID"
 65,"PiS","Anna","Dąbrowska-Banaszek",YES,NO,NA,"VOTE_VALID"
 66,"PiS","Zbigniew","Dolata",YES,NO,NA,"VOTE_VALID"
 67,"KO","Barbara","Dolniak",NO,YES,NA,"VOTE_VALID"
 68,"KO","Andrzej","Domański",NO,YES,"Jan","VOTE_VALID"
 69,"PiS","Bartłomiej","Dorywalski",YES,NO,NA,"VOTE_VALID"
 70,"KO","Robert","Dowhan",NA,NA,NA,"ABSENT"
 71,"PiS","Przemysław","Drabek",NA,NA,"Mieczysław","ABSENT"
 72,"PiS","Elżbieta","Duda",YES,NO,NA,"VOTE_VALID"
 73,"PiS","Michał","Dworczyk",NA,NA,"Paweł","ABSENT"
 74,"PSL-TD","Adam","Dziedzic",NO,YES,NA,"VOTE_VALID"
 75,"PiS","Jan","Dziedziczak",YES,NO,"Michał","VOTE_VALID"
 76,"Lewica","Agnieszka","Dziemianowicz-Bąk",NO,YES,"Ewa","VOTE_VALID"
 77,"KO","Magdalena","Filiks",NO,YES,NA,"VOTE_VALID"
 78,"PiS","Magdalena","Filipek-Sobczak",YES,NO,NA,"VOTE_VALID"
 79,"PiS","Radosław","Fogiel",NA,NA,"Aleksander","ABSENT"
 80,"Konfederacja","Bronisław","Foltyn",NA,NA,"Edward","ABSENT"
 81,"Konfederacja","Roman","Fritz",NO,NO,"Henryk","VOTE_VALID"
 82,"KO","Joanna","Frydrych",NO,YES,"Zofia","VOTE_VALID"
 83,"KO","Konrad","Frysztak",NO,YES,NA,"VOTE_VALID"
 84,"KO","Patryk","Gabriel",NO,YES,NA,"VOTE_VALID"
 85,"KO","Krzysztof","Gadowski",NO,YES,"Jan","VOTE_VALID"
 86,"KO","Aleksandra","Gajewska",NO,YES,"Małgorzata","VOTE_VALID"
 87,"KO","Kinga","Gajewska",NO,YES,"Magdalena","VOTE_VALID"
 88,"KO","Elżbieta","Gapińska",NO,YES,"Teresa","VOTE_VALID"
 89,"KO","Kamila","Gasiuk-Pihowicz",NO,YES,NA,"VOTE_VALID"
 90,"Lewica","Krzysztof","Gawkowski",NO,YES,"Kamil","VOTE_VALID"
 91,"KO","Zdzisław","Gawlik",NO,YES,NA,"VOTE_VALID"
 92,"PiS","Andrzej","Gawron",YES,NO,"Janusz","VOTE_VALID"
 93,"PiS","Grzegorz","Gaża",NA,NA,"Krzysztof","ABSENT"
 94,"KO","Elżbieta","Gelert",NO,YES,"Kazimiera","VOTE_VALID"
 95,"PiS","Anna","Gembicka",NA,NA,"Urszula","ABSENT"
 96,"KO","Artur","Gierada",NO,YES,"Daniel","VOTE_VALID"
 97,"KO","Roman","Giertych",NO,YES,"Jacek","VOTE_VALID"
 98,"KO","Włodzisław","Giziński",NO,YES,NA,"VOTE_VALID"
 99,"PiS","Szymon","Giżyński",YES,NO,"Stanisław","VOTE_VALID"
100,"PiS","Piotr","Gliński",NA,NA,"Tadeusz","ABSENT"
101,"KO","Tomasz","Głogowski",NO,YES,"Marian","VOTE_VALID"
102,"KO","Piotr","Głowski",NO,YES,"Krzysztof","VOTE_VALID"
103,"KO","Marta","Golbik",NO,YES,"Joanna","VOTE_VALID"
104,"PiS","Małgorzata","Golińska",YES,NO,"Joanna","VOTE_VALID"
105,"PiS","Kazimierz","Gołojuch",YES,NO,"Edward","VOTE_VALID"
106,"Polska2050-TD","Adam","Gomoła",NO,YES,"Michał","VOTE_VALID"
107,"PiS","Robert","Gontarz",YES,NO,NA,"VOTE_VALID"
108,"KO","Stanisław","Gorczyca",NO,YES,"Andrzej","VOTE_VALID"
109,"PiS","Mariusz","Gosek",YES,NO,"Marek","VOTE_VALID"
110,"Lewica","Daria","Gosek-Popiołek",NO,YES,"Iwona","VOTE_VALID"
111,"PiS","Małgorzata","Gosiewska",YES,NO,"Maria","VOTE_VALID"
112,"Polska2050-TD","Piotr","Górnikiewicz",NO,YES,"Tadeusz","VOTE_VALID"
113,"PiS","Agnieszka","Górska",YES,NO,"Beata","VOTE_VALID"
114,"KO","Krzysztof","Grabczuk",NO,YES,NA,"VOTE_VALID"
115,"KO","Jan","Grabiec",NO,YES,"Stanisław","VOTE_VALID"
116,"PiS","Marcin","Grabowski",YES,NO,NA,"VOTE_VALID"
117,"Polska2050-TD","Michał","Gramatyka",NO,YES,"Sebastian","VOTE_VALID"
